Compiled_by,Database_ID,Species,Sex,Site,State,Country,Year,Diagnostic,Individuals,Indivs_positive,Collector_source,Orig_database,Disease_status,Accuracy,Latitude,Longitude,Dead_or_sick
RichardRetallick,32,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.46411,148.59801,not noted
RichardRetallick,33,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.46411,148.59801,not noted
RichardRetallick,34,Pseudophryne pengilleyi,Male,Broken Cart Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.46411,148.59801,not noted
RichardRetallick,35,Pseudophryne pengilleyi,Male,Brumby Flats,NSW,Australia,1997,Histology,1,1,D. Hunter,D. Mendez,positive,acceptable,-35.57525,148.77347,not noted
RichardRetallick,36,Pseudophryne pengilleyi,Male,Brumby Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.57525,148.77347,not noted
RichardRetallick,37,Pseudophryne pengilleyi,Male,Brumby Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.57525,148.77347,not noted
RichardRetallick,38,Pseudophryne pengilleyi,Male,Brumby Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.57525,148.77347,not noted
RichardRetallick,39,Pseudophryne pengilleyi,Male,Brumby Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.57525,148.77347,not noted
RichardRetallick,40,Pseudophryne pengilleyi,Male,Brumby Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.57525,148.77347,not noted
RichardRetallick,41,Pseudophryne pengilleyi,Male,Brumby Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.57525,148.77347,not noted
RichardRetallick,42,Pseudophryne pengilleyi,Male,Brumby Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.57525,148.77347,not noted
RichardRetallick,43,Pseudophryne pengilleyi,Male,Brumby Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.57525,148.77347,not noted
RichardRetallick,44,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted
RichardRetallick,45,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted
RichardRetallick,46,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted
RichardRetallick,47,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted
RichardRetallick,48,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted
RichardRetallick,49,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted
RichardRetallick,50,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted
RichardRetallick,51,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted
RichardRetallick,52,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted
RichardRetallick,53,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted
RichardRetallick,54,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted
RichardRetallick,55,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted
RichardRetallick,56,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted
RichardRetallick,57,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted
RichardRetallick,58,Pseudophryne pengilleyi,Female,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,1,D. Hunter,D. Mendez,positive,acceptable,-35.43793,148.6008,not noted
RichardRetallick,59,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted
RichardRetallick,60,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.43793,148.6008,not noted
RichardRetallick,61,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted
RichardRetallick,62,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted
RichardRetallick,63,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted
RichardRetallick,64,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted
RichardRetallick,65,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted
RichardRetallick,66,Pseudophryne pengilleyi,Female,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted
RichardRetallick,67,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted
RichardRetallick,68,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted
RichardRetallick,69,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted
RichardRetallick,70,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted
RichardRetallick,71,Pseudophryne pengilleyi,Male,Cooleman Creek Fire Trail,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.43793,148.6008,not noted
RichardRetallick,72,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted
RichardRetallick,73,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted
RichardRetallick,74,Pseudophryne pengilleyi,Female,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted
RichardRetallick,75,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted
RichardRetallick,76,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted
RichardRetallick,77,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted
RichardRetallick,78,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted
RichardRetallick,79,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted
RichardRetallick,80,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted
RichardRetallick,81,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,1,D. Hunter,D. Mendez,positive,acceptable,-35.28618,148.81222,not noted
RichardRetallick,82,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted
RichardRetallick,83,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted
RichardRetallick,84,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted
RichardRetallick,85,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted
RichardRetallick,86,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted
RichardRetallick,87,Pseudophryne pengilleyi,not recorded,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted
RichardRetallick,88,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted
RichardRetallick,89,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted
RichardRetallick,90,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted
RichardRetallick,91,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.28618,148.81222,not noted
RichardRetallick,92,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,93,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,94,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,95,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,96,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,97,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,98,Pseudophryne pengilleyi,Female,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,99,Pseudophryne pengilleyi,Female,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,100,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,101,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,102,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,103,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,104,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,105,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,106,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,107,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,108,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,109,Pseudophryne pengilleyi,Female,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,110,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,111,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,112,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,113,Pseudophryne pengilleyi,Male,Coree Flats,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.28618,148.81222,not noted
RichardRetallick,114,Pseudophryne pengilleyi,Male,Devils Peak,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.2715,148.82948,not noted
RichardRetallick,115,Pseudophryne pengilleyi,Male,Devils Peak,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.2715,148.82948,not noted
RichardRetallick,116,Pseudophryne pengilleyi,Female,Devils Peak,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.2715,148.82948,not noted
RichardRetallick,117,Pseudophryne pengilleyi,Male,Devils Peak,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.2715,148.82948,not noted
RichardRetallick,118,Pseudophryne pengilleyi,Male,Devils Peak,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.2715,148.82948,not noted
RichardRetallick,119,Pseudophryne pengilleyi,Male,Devils Peak,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.2715,148.82948,not noted
RichardRetallick,120,Pseudophryne pengilleyi,Male,Devils Peak,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.2715,148.82948,not noted
RichardRetallick,121,Pseudophryne pengilleyi,Female,Devils Peak,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.2715,148.82948,not noted
RichardRetallick,122,Pseudophryne pengilleyi,Female,Devils Peak,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.2715,148.82948,not noted
RichardRetallick,123,Pseudophryne pengilleyi,Male,Devils Peak,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.2715,148.82948,not noted
RichardRetallick,124,Pseudophryne pengilleyi,Male,Devils Peak,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.2715,148.82948,not noted
RichardRetallick,125,Pseudophryne pengilleyi,Male,Devils Peak,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.2715,148.82948,not noted
RichardRetallick,126,Pseudophryne pengilleyi,Male,Devils Peak,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.2715,148.82948,not noted
RichardRetallick,127,Pseudophryne pengilleyi,Male,Devils Peak,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.2715,148.82948,not noted
RichardRetallick,128,Pseudophryne pengilleyi,Male,Devils Peak,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.2715,148.82948,not noted
RichardRetallick,129,Pseudophryne pengilleyi,Female,Devils Peak,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.2715,148.82948,not noted
RichardRetallick,130,Pseudophryne pengilleyi,Male,Devils Peak,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.2715,148.82948,not noted
RichardRetallick,131,Pseudophryne pengilleyi,Male,Ginini East,ACT,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.52287,148.78003,not noted
RichardRetallick,132,Pseudophryne pengilleyi,Male,Ginini East,ACT,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.52287,148.78003,not noted
RichardRetallick,133,Pseudophryne pengilleyi,Male,Ginini East,ACT,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.52287,148.78003,not noted
RichardRetallick,134,Pseudophryne pengilleyi,Male,Ginini North,ACT,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.5201,148.78438,not noted
RichardRetallick,135,Pseudophryne pengilleyi,Male,Ginini North,ACT,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.5201,148.78438,not noted
RichardRetallick,136,Pseudophryne pengilleyi,Male,Ginini North,ACT,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.5201,148.78438,not noted
RichardRetallick,137,Pseudophryne pengilleyi,Male,Ginini North,ACT,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.5201,148.78438,not noted
RichardRetallick,138,Pseudophryne pengilleyi,Male,Ginini North,ACT,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.5201,148.78438,not noted
RichardRetallick,139,Pseudophryne pengilleyi,Male,Ginini North,ACT,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.5201,148.78438,not noted
RichardRetallick,140,Pseudophryne pengilleyi,Male,Ginini North,ACT,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.5201,148.78438,not noted
RichardRetallick,141,Pseudophryne pengilleyi,Male,Ginini North,ACT,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.5201,148.78438,not noted
RichardRetallick,142,Pseudophryne pengilleyi,Male,Pabral Road,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.29975,148.80922,not noted
RichardRetallick,143,Pseudophryne pengilleyi,Male,Pabral Road,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.29975,148.80922,not noted
RichardRetallick,144,Pseudophryne pengilleyi,Male,Pabral Road,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.29975,148.80922,not noted
RichardRetallick,145,Pseudophryne pengilleyi,Male,Pabral Road,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.29975,148.80922,not noted
RichardRetallick,146,Pseudophryne pengilleyi,Female,Pabral Road,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,negative,acceptable,-35.29975,148.80922,not noted
RichardRetallick,147,Pseudophryne pengilleyi,Male,Pabral Road,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.29975,148.80922,not noted
RichardRetallick,148,Pseudophryne pengilleyi,Male,Pabral Road,NSW,Australia,1997,Histology,1,0,D. Hunter,D. Mendez,no result,acceptable,-35.29975,148.80922,not noted
